x,y,z,release_h,site
-0.6052368365584431,-1.41,0.0,0.5,deep
-8.396473218147612,4.0881581813761985,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.4035215931907143,-3.2896374194614366,0.0,0.5,deep
99.98512639333939,44.84346690721652,0.0,0.5,deep
-2.6391193944127034,-5.342901160862789,0.0,0.5,deep
-9.473877233242668,-10.791595982506056,0.0,0.5,deep
128.71729779663556,51.553842246023855,0.0,0.5,deep
-12.172947442800591,-8.454603504788409,0.0,0.5,deep
144.49444100882235,33.05902662992274,0.0,0.5,deep
-1.3342501621986098,-3.3854007897092537,0.0,0.5,deep
-1.415632763611185,-3.272892072856166,0.0,0.5,deep
-1.4052342239631357,-3.2872695175469335,0.0,0.5,deep
-1.7694645446532178,-2.78334314157727,0.0,0.5,deep
-2.008219188523835,-4.839930010646588,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-100.53467572624844,11.862975677007826,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-7.6482514569307,-7.3015572697395195,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-6.939750360858104,-8.573672942510687,0.0,0.5,deep
-9.204833927162156,-11.354290299619331,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-31.81576466239769,7.3135493909282765,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-4.058578496223666,-8.025344250537932,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-3.1879081851306688,-4.434272148767808,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-2.994914964033679,-4.7774655680423,0.0,0.5,deep
-7.5481672942971265,-7.268073383357265,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-5.241658530964877,-5.88718258301796,0.0,0.5,deep
-1.3035584429442943,-3.427822678421661,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-5.155050429034516,-6.13392412047369,0.0,0.5,deep
-11.862174652823205,-10.687802511030801,0.0,0.5,deep
-2.763537081180416,-5.0557206332594875,0.0,0.5,deep
-50.54441210747341,9.224499289563356,0.0,0.5,deep
63.637050919431516,37.88267408002016,0.0,0.5,deep
24.747236041496695,64.49166415926123,0.0,0.5,deep
-9.30010913782996,-9.063829612338873,0.0,0.5,deep
-1.6256627598234623,-2.9823799199720336,0.0,0.5,deep
-7.060855739748014,1.394703717198265,0.0,0.5,deep
-1.3864498097607107,-3.3132402630280393,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.912004558124953,-2.585943772316331,0.0,0.5,deep
-2.544061409598286,2.6542895706792824,0.0,0.5,deep
-1.4569348844086396,-3.215780787341595,0.0,0.5,deep
-10.69015543477966,-14.714748791799678,0.0,0.5,deep
6.8285757023660505,123.01574497648099,0.0,0.5,deep
-1.6556477145404311,-2.9408865378288556,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
10.051226904361805,71.1468299875307,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
12.853195912822642,0.4414843610379492,0.0,0.5,deep
-1.4311061673510026,-2.412016010795405,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-77.96514861568392,26.424013904970188,0.0,0.5,deep
-6.0857053496990945,-10.746160438179134,0.0,0.5,deep
-2.7887458040671347,-5.214868852598945,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
4.183741002819344,11.789520535187878,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-7.351360031898386,-7.879621267733439,0.0,0.5,deep
-10.356026115809662,-14.036640170902096,0.0,0.5,deep
-53.90551045009239,11.25085580912631,0.0,0.5,deep
-7.277938988726728,-15.837017638524873,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-78.115407466399,28.823291199293436,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
87.19909000477247,34.34518510602639,0.0,0.5,deep
-1.4141983480806197,-3.274875385981745,0.0,0.5,deep
1.1741163275547248,0.7715812229624672,0.0,0.5,deep
-0.3554422815436924,54.0398273186354,0.0,0.5,deep
-7.050560609225141,-0.0028616065602637963,0.0,0.5,deep
958.949822815176,610.59529711271,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.4811442470592555,-3.1823008842005325,0.0,0.5,deep
-7.239013037146547,-8.368524731372942,0.0,0.5,deep
-2.893559337671908,-4.976768914100358,0.0,0.5,deep
-4.332900173918007,-7.707531751917399,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-3.188645889178248,-4.633918491787352,0.0,0.5,deep
-3.0752229548111822,-4.560454374885671,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-3.2720026339236488,0.09050410090371797,0.0,0.5,deep
-4.47547883809572,-7.3244716699844705,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-4.598397187458575,-7.109428862645252,0.0,0.5,deep
-59.45393207378127,-1.7651304254999323,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-9.88444884785435,-11.840572240923812,0.0,0.5,deep
-0.8050009577101331,-5.562312042983723,0.0,0.5,deep
-11.411316748582859,-11.910303422065148,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.7939928119657667,-2.7493825100932368,0.0,0.5,deep
-10.42238324844906,-13.960507021373317,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.245312912687782,-3.508316789766738,0.0,0.5,deep
-1.4503637706668622,-3.2248676858999383,0.0,0.5,deep
-10.433697305979837,-13.653511201187339,0.0,0.5,deep
-1.6168895690298688,-2.9945194390580334,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-6.733938313853933,-9.510348709593575,0.0,0.5,deep
-50.92631859034835,58.53225950701411,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.4931461680308349,0.8926516985203123,0.0,0.5,deep
-1.786826199040917,-2.759305382915147,0.0,0.5,deep
-39.88929353992037,49.827714165669605,0.0,0.5,deep
-10.024590327905317,-13.361336185968936,0.0,0.5,deep
-11.627801384506235,-8.191906512746852,0.0,0.5,deep
44.281929287540436,57.42061401080782,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-6.570918359562047,-8.602832266167518,0.0,0.5,deep
-34.7020988174162,10.325538705186723,0.0,0.5,deep
-5.218523706810261,-0.6237824637010518,0.0,0.5,deep
-3.583712910948366,-3.9307278419886247,0.0,0.5,deep
-1.6284329637367054,-2.978546688732801,0.0,0.5,deep
-36.486789755839546,4.646058973632115,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-24.63357451047219,52.626732694371356,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
11.396476792506867,62.04994727658915,0.0,0.5,deep
-1.2868882135363955,-3.4508622514248444,0.0,0.5,deep
-12.348565503578504,-9.47492458657061,0.0,0.5,deep
-10.27042644747647,-9.470901852614324,0.0,0.5,deep
-1.4837385384367758,-0.7552287700780211,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
13.515959632727466,7.195490291309718,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-7.065049890213674,-8.57316752604759,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-10.552008637697842,-13.360185429957163,0.0,0.5,deep
-2.829639564158649,-5.094613305657582,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-9.332865963784606,6.406723688692136,0.0,0.5,deep
-2.358930297232247,-5.8242477605327,0.0,0.5,deep
-2.4971699469967232,-5.582424309715015,0.0,0.5,deep
-6.23123029935179,6.184522213983972,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-10.712977455277128,-11.977951064073594,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-6.078817448386628,-10.330338423385573,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
10.941763337931851,11.306873894799399,0.0,0.5,deep
0.13078827250304315,-6.498403655583234,0.0,0.5,deep
-29.58674654274295,13.966015474070353,0.0,0.5,deep
-1.0159931410905085,0.6343283443622996,0.0,0.5,deep
-1.5211076108113053,-3.127027830325983,0.0,0.5,deep
-61.47858299713413,1.5082848068073647,0.0,0.5,deep
-15.06270151498838,46.06093821698912,0.0,0.5,deep
-2.657993449061024,-5.299883410948416,0.0,0.5,deep
-15.020215353061493,46.12888890300028,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.2233294792089988,-4.126822465076221,0.0,0.5,deep
-47.60169086330487,25.036988414894992,0.0,0.5,deep
107.90554184291636,62.09540504363186,0.0,0.5,deep
-1.6887878496879836,-2.895021544712123,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-3.2606717952516595,-4.449470306785107,0.0,0.5,deep
-1.594540040004931,-3.0254428275015934,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-7.351707927936295,6.8737462610697255,0.0,0.5,deep
-9.931927292972155,-14.181252201943792,0.0,0.5,deep
-3.751672817352696,-5.616792708451683,0.0,0.5,deep
-2.7784205150054664,-5.217838549746782,0.0,0.5,deep
139.68079172937698,34.016789906325656,0.0,0.5,deep
-10.752013477870229,0.43610010270000066,0.0,0.5,deep
-60.308518222053124,6.368017564369254,0.0,0.5,deep
-26.022203917487793,1.5806117352738716,0.0,0.5,deep
-10.66689639982173,-13.917347033530186,0.0,0.5,deep
-19.13569798218469,0.9215112326119546,0.0,0.5,deep
-9.295937831005968,-10.855066360155046,0.0,0.5,deep
-3.610312039765896,-3.698530654310364,0.0,0.5,deep
-2.8110111533122613,-5.0064922588230445,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-6.878164532097356,-8.370308156433971,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-11.871239823050619,-7.435587570894739,0.0,0.5,deep
-4.36630686647835,-0.9995626141998459,0.0,0.5,deep
47.27885445572261,111.35735315430702,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-62.653480123724556,17.483966553098735,0.0,0.5,deep
-7.484059023264416,-7.457318330308838,0.0,0.5,deep
-5.602744277931916,4.926524511879898,0.0,0.5,deep
-5.467166004307165,-5.615908782721572,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-33.29913955563003,51.223077287146275,0.0,0.5,deep
-1.2914970426654344,-3.4444926195507826,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-3.1039413448874362,-4.494224018064502,0.0,0.5,deep
-2.291452739621652,-3.5325368755588347,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-10.549422552060106,-12.615760041608825,0.0,0.5,deep
-1.340253224760044,-3.377102862906672,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.5219482684490155,-3.125865036002815,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-9.929436865971375,-9.848695016714409,0.0,0.5,deep
-1.3297514890118154,-3.391619111052374,0.0,0.5,deep
12.938064028432848,8.156524608293655,0.0,0.5,deep
-7.556885603685707,-13.150805852906753,0.0,0.5,deep
-3.9918828509290023,58.46130642434174,0.0,0.5,deep
-3.285331953217325,-4.427353410529918,0.0,0.5,deep
-14.252175332226361,10.524962476808865,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
1.0071361238484737,6.156053823763605,0.0,0.5,deep
3.2016143205828644,2.7040326485981305,0.0,0.5,deep
-88.53331704506509,17.049689685672142,0.0,0.5,deep
-1.5420159683227337,-3.098106409816422,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.6327224276049799,-2.972611124177127,0.0,0.5,deep
-93.46803752037333,13.00942694830176,0.0,0.5,deep
-1.6463962372697412,-2.9536892926068665,0.0,0.5,deep
-1.3945368327102987,-3.3020596101024857,0.0,0.5,deep
-1.3082110121177968,-3.421392221459775,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-3.3135304459376744,-4.316220910983578,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-8.871486081164601,-12.221509758392124,0.0,0.5,deep
-3.634734115841229,2.1552071319598056,0.0,0.5,deep
115.46020883445303,34.85209486930504,0.0,0.5,deep
-4.773910965576668,-6.563999107859745,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-4.9098549490514,-6.484810439059571,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-9.392396416325635,-10.645279662256826,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-77.53721065414408,23.724598075492796,0.0,0.5,deep
-1.6735007654642053,-2.916179142883093,0.0,0.5,deep
8.180718663368257,9.317577438883347,0.0,0.5,deep
226.1702328398277,-57.219215301860366,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-6.653439161460815,-9.017062378303898,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-26.37254300940385,15.385494482817624,0.0,0.5,deep
-1.3049919413904583,-3.425841407878507,0.0,0.5,deep
-1.5217373130572374,-3.1261568290033175,0.0,0.5,deep
-46.15658162843036,2.5459726144492043,0.0,0.5,deep
-10.726949343982385,-11.929471492953617,0.0,0.5,deep
-1.357415936831448,-3.3533781831951845,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-3.4113984473200922,-4.124981734791749,0.0,0.5,deep
-9.28017916569041,-9.598554738159875,0.0,0.5,deep
-9.165332977512955,-11.442464529117926,0.0,0.5,deep
-9.454294807163015,-11.074405695423362,0.0,0.5,deep
-1.5239658914221947,-3.1230742532864384,0.0,0.5,deep
-11.665458798252413,-10.455894406286413,0.0,0.5,deep
-36.22767999033178,8.000000701706641,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.2877892633297896,-3.44961696367331,0.0,0.5,deep
-23.159524137947518,1.0908744858609754,0.0,0.5,deep
-1.693771657962911,-2.888123599958335,0.0,0.5,deep
-21.142596217071606,15.186562517171692,0.0,0.5,deep
-11.705028098728349,-9.567308782089999,0.0,0.5,deep
-0.7178708626091612,-4.834527912742761,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
1.4539709614812368,0.9419921694242845,0.0,0.5,deep
-30.322639701603602,11.300389638232721,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.317494774989924,-3.408560538723518,0.0,0.5,deep
-3.5744577276545266,-2.9004042387953906,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.4089739967708095,-3.2820988167331606,0.0,0.5,deep
-8.61545688570088,-13.038747129738246,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.2671795833928694,-3.4780994113213213,0.0,0.5,deep
-10.490990533358403,-12.794120089869487,0.0,0.5,deep
-1.4652006867454128,-3.2043500739841377,0.0,0.5,deep
38.57009422796286,40.415304235251085,0.0,0.5,deep
-6.430400936255015,1.2675027552781408,0.0,0.5,deep
-2.7538484416067037,1.8820938293615763,0.0,0.5,deep
54.75971719181289,59.500441614012026,0.0,0.5,deep
-1.3826304218898877,-3.3185206173556066,0.0,0.5,deep
-0.6052368365584431,-1.41,0.0,0.5,deep
-1.584873920110168,-3.038816325666998,0.0,0.5,deep
-53.19781789896213,26.34561651898678,0.0,0.5,deep
-3.0907262644199998,-4.694903691607902,0.0,0.5,deep
112.27841347242736,-18.276520800687944,0.0,0.5,deep
-1.2781006631464382,-3.46300680179238,0.0,0.5,deep
-4.102988948784094,-7.744060880012226,0.0,0.5,deep
-3.13753966661435,-4.595549718418643,0.0,0.5,deep
-1.467585237808304,-3.2173564262065066,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-5.411260858658245,4.250619993566155,0.0,0.55,deep
-45.01191254993011,-1.1748578951668203,0.0,0.55,deep
-2.5335087168746004,-5.569461349291386,0.0,0.55,deep
0.5530527063674935,4.962362277160831,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
181.3433196668877,-7.597231781581908,0.0,0.55,deep
-6.133334797018186,2.6322342220387442,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-10.815620696089818,-8.116405376250736,0.0,0.55,deep
-53.264093947855876,30.27521116408932,0.0,0.55,deep
-6.003063434526602,-1.8066649066787022,0.0,0.55,deep
-7.020493489575417,-8.926979686848755,0.0,0.55,deep
-3.9092860432975467,-8.291206937869385,0.0,0.55,deep
-6.58916157318526,-9.47466158435325,0.0,0.55,deep
-25.295397297720804,10.550544695377173,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-2.879590790927983,-4.907733285724661,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-84.33772653838056,33.76401467012324,0.0,0.55,deep
-3.3302987349395927,-4.471427644673234,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-8.53286840811985,3.304155932840103,0.0,0.55,deep
-4.373298767565869,-7.591719001246242,0.0,0.55,deep
-7.112069998728408,-8.618490369882167,0.0,0.55,deep
-2.8989219970501487,-5.040397363417351,0.0,0.55,deep
0.059922709953756925,1.640257617117164,0.0,0.55,deep
-2.934932251494934,-4.999942663846922,0.0,0.55,deep
-97.39430095627108,36.12814177746042,0.0,0.55,deep
-28.284968532936933,54.12906467846683,0.0,0.55,deep
-10.141571165907227,-13.877528845061804,0.0,0.55,deep
52.17903224842713,103.07479276243438,0.0,0.55,deep
-1.411857443220843,-3.2944038202034736,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-1.6660788794574657,-2.9427994690150543,0.0,0.55,deep
-5.708787090476237,-5.2546450868066,0.0,0.55,deep
-2.0464717356921467,-2.416061773840253,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-3.2213803863962482,-4.399369293617658,0.0,0.55,deep
-32.06983331652318,7.523260694202941,0.0,0.55,deep
-2.6146100010870383,-5.462917046333995,0.0,0.55,deep
-6.474826388237114,6.067619264614254,0.0,0.55,deep
-7.196562248872657,3.1923006616039595,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-5.194235416019853,14.315044223212311,0.0,0.55,deep
1.8344226349484227,4.050530382549043,0.0,0.55,deep
-6.2138259090766494,6.216098454954922,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-4.405530387649941,-7.167378766786503,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-9.384541680675934,-11.12599789462141,0.0,0.55,deep
-1.7667003383327595,-2.8035423075855386,0.0,0.55,deep
-54.34105646208603,-6.30210480077705,0.0,0.55,deep
-26.102531073460305,11.639320460242171,0.0,0.55,deep
-1.3185424755619133,-3.423384061945562,0.0,0.55,deep
-25.00946537075409,-0.5226523740151992,0.0,0.55,deep
-2.691512442442353,-5.270467253042417,0.0,0.55,deep
-1.2917895406349063,-3.460354316583821,0.0,0.55,deep
-1.9178001362379566,3.6556240797047943,0.0,0.55,deep
-8.549204688843083,-12.000725840398552,0.0,0.55,deep
-0.05149291869776704,0.43915409823720664,0.0,0.55,deep
-1.7971292766483458,-2.7614190575970716,0.0,0.55,deep
-2.7173116567474462,-5.224907094992856,0.0,0.55,deep
-11.554394148507672,-9.54901502046942,0.0,0.55,deep
-7.230883393046022,-7.572794885131378,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-1.2904109773317933,-3.4622592798993708,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-1.433303482096688,-3.264755049097473,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-5.071851179123584,-6.400760615281683,0.0,0.55,deep
-6.818955169684061,-8.942426096605757,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
11.386837022747546,-0.15609734749074344,0.0,0.55,deep
-1.371743048540865,1.2779337672759958,0.0,0.55,deep
-10.998011049082873,-8.163794628605771,0.0,0.55,deep
-88.78868232727827,18.779448844979477,0.0,0.55,deep
-53.65451076107304,58.982718051255304,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-0.6495696110407541,-1.365,0.0,0.55,deep
-56.72370258942836,18.930345100424447,0.0,0.55,deep
