x,y,z,release_h,site
-20.97625835876964,13.068212956129575,0.0,0.5,shallow
-20.69922617393747,14.008676346456555,0.0,0.5,shallow
-35.04096717894232,1.0861073581855119,0.0,0.5,shallow
-14.658053162677765,9.11604734357617,0.0,0.5,shallow
-45.78757542101142,6.050760525389585,0.0,0.5,shallow
-2.6740845694030195,1.38289248313995,0.0,0.5,shallow
-17.53803582560153,10.986130499226798,0.0,0.5,shallow
-2.5572526996391405,1.3314535716924047,0.0,0.5,shallow
-29.836812732947,5.489806414136361,0.0,0.5,shallow
-49.89724163057467,-1.2376386841634512,0.0,0.5,shallow
-20.367729166433083,-18.380149636602024,0.0,0.5,shallow
-2.713970220245989,1.4004544920714435,0.0,0.5,shallow
-2.694946589872611,1.3920781481700408,0.0,0.5,shallow
-18.50984902725551,11.57920428829707,0.0,0.5,shallow
-47.68421333191163,0.11218240670307988,0.0,0.5,shallow
-30.099007722729098,-12.412026971993171,0.0,0.5,shallow
-52.843154928967664,2.857450024803785,0.0,0.5,shallow
-2.6059201656787074,1.3528803743104045,0.0,0.5,shallow
-20.09459264440922,12.496400851329867,0.0,0.5,shallow
-16.933292743441218,10.55004356357167,0.0,0.5,shallow
-15.280766425627666,10.280939110849275,0.0,0.5,shallow
-10.364226319847536,6.317846266416949,0.0,0.5,shallow
-2.7845888357487696,1.4315498585189919,0.0,0.5,shallow
-2.8860225180210826,1.4762169875583973,0.0,0.5,shallow
-77.93780848541282,3.675882047339522,0.0,0.5,shallow
-20.159134681400676,12.657042865944252,0.0,0.5,shallow
-64.14233115660939,-16.242618747799703,0.0,0.5,shallow
-51.58510740076714,-12.991985025652115,0.0,0.5,shallow
-17.859169721960406,11.171367915656731,0.0,0.5,shallow
-40.46480885913304,6.966837256717519,0.0,0.5,shallow
-2.5812287476828235,1.3420093909830064,0.0,0.5,shallow
-2.571042827319663,1.3375248600915892,0.0,0.5,shallow
-2.678098285249011,1.3846597330079908,0.0,0.5,shallow
-2.893221051364228,1.4793870536804032,0.0,0.5,shallow
-19.181763068694515,11.89065617975098,0.0,0.5,shallow
-14.984388906721339,11.373278725977169,0.0,0.5,shallow
-13.280311974665555,-15.252330455324417,0.0,0.5,shallow
-22.939242932876404,16.83376343034225,0.0,0.5,shallow
-3.0067591765673716,1.529388941982062,0.0,0.5,shallow
-60.74241302629989,-37.51092958505679,0.0,0.5,shallow
-2.6520689961350348,1.3731990672816838,0.0,0.5,shallow
-2.902443339986619,1.4834483604088926,0.0,0.5,shallow
-16.427846419638314,6.486910077769809,0.0,0.5,shallow
-18.42374793838363,11.48458685401017,0.0,0.5,shallow
-35.41108935182477,4.83123241226132,0.0,0.5,shallow
-3.008854680159903,1.5303118375424893,0.0,0.5,shallow
-14.328489990072903,-4.0492051498782295,0.0,0.5,shallow
-2.6875691325365305,1.3888297948143826,0.0,0.5,shallow
-25.36455136529516,8.923237786767135,0.0,0.5,shallow
-18.727741007767648,8.439236936812724,0.0,0.5,shallow
-25.02770674765894,15.924644310279746,0.0,0.5,shallow
-2.896794696614562,1.4809608102759764,0.0,0.5,shallow
-27.879815644809632,5.04129981512826,0.0,0.5,shallow
-12.095820685281389,7.4651939893664245,0.0,0.5,shallow
-2.824145179311377,1.4489683867771976,0.0,0.5,shallow
-2.335813557131453,1.2339712625834567,0.0,0.5,shallow
-3.118382022746077,1.5785516232164238,0.0,0.5,shallow
-20.230818905040508,14.83144137065095,0.0,0.5,shallow
-26.186862346200957,0.45690893132852983,0.0,0.5,shallow
-20.614272990461615,14.360593069929457,0.0,0.5,shallow
-2.8980900823627755,1.4815312714134574,0.0,0.5,shallow
-2.9552945364663636,1.5067235054203492,0.0,0.5,shallow
-25.52330209086528,-1.4817478910333879,0.0,0.5,shallow
-17.427215980155683,0.808798048036202,0.0,0.5,shallow
-2.5902166165140676,1.3459664889207372,0.0,0.5,shallow
-2.8134752748015006,1.4442698700704977,0.0,0.5,shallow
-14.174357368204463,8.768349433401502,0.0,0.5,shallow
-16.507344754699,10.226834983321822,0.0,0.5,shallow
-2.736397650609342,1.410329733870496,0.0,0.5,shallow
